"Unidade";"Grupo Base";"Nome Grupo";"Fonte Recurso";"Recolhimento";"Data";"Situacao";"Guia";"Data Guia";"Valor";"Finalidade";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00443394/2010";"25/02/2010";"Recolhido";"00038/2010";"23/02/2010";"2.400,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00443378/2010";"25/02/2010";"Recolhido";"00039/2010";"23/02/2010";"150,00";"Curso de Especialização em Aprendizagem Motora - 2.010 - (Inscrição) - 4a. Edição";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00443483/2010";"25/02/2010";"Recolhido";"00040/2010";"24/02/2010";"600,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00520232/2010";"04/03/2010";"Recolhido";"00041/2010";"26/02/2010";"12.040,69";"Pagamento de Aluguel-Fundaçâo Zerbini - INCOR - (JANEIRO/2010)";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00520224/2010";"04/03/2010";"Recolhido";"00042/2010";"03/03/2010";"1.210,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00520240/2010";"04/03/2010";"Recolhido";"00043/2010";"03/03/2010";"300,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00520259/2010";"04/03/2010";"Recolhido";"00044/2010";"03/03/2010";"450,00";"Curso de Especialização em Aprendizagem Motora - 2.010 - (Inscrição) - 4a. Edição";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00520267/2010";"04/03/2010";"Recolhido";"00045/2010";"03/03/2010";"400,00";"Curso de Difusão - Suplementação Nutricional - 2.010";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00520011/2010";"02/03/2010";"Recolhido";"00046/2010";"02/03/2010";"50,00";"Boletos Bancários ano 2010 data efetivação Mar  2 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00534586/2010";"03/03/2010";"Recolhido";"00048/2010";"03/03/2010";"50,00";"Boletos Bancários ano 2010 data efetivação Mar  3 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00550794/2010";"08/03/2010";"Recolhido";"00049/2010";"05/03/2010";"10,00";"Cópia de Chave";
